genericName,SynNames
Glutathione,5-L-Glutamyl-L-cysteinylglycine 
Phosphatidyl serine,Phosphatidyl serine 
Glycine,Aminoacetic acid 
Calcifediol,"(3S,5Z,7E)-9,10-secocholesta-5,7,10-triene-3,25-diol "
Pyridoxal,2-methyl-3-hydroxy-4-formyl-5-hydroxymethylpyridine 
Creatine,((amino(Imino)methyl)(methyl)amino)acetic acid 
Leucine,(2S)-2-Amino-4-methylpentanoic acid 
Tryptophan,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid 
Cysteine,(2R)-2-amino-3-mercaptopropanoic acid 
Thiamine,Aneurin 
Ergocalciferol,"(3β,5Z,7E,22E)-9,10-secoergosta-5,7,10(19),22-tetraen-3-ol "
Dihomo-gamma-linolenic acid,"(8Z,11Z,14Z)-Icosatrienoic acid "
Citrulline,(S)-2-Amino-5-ureidopentanoic acid 
Threonine,"(2S,3R)-(-)-Threonine "
NADH,"1,4-dihydronicotinamide adenine dinucleotide "
Folic acid,Acide folique 
Icosapent,"(5Z,8Z,11Z,14Z,17Z)-5,8,11,14,17-eicosapentaenoic acid "
Alanine,(2S)-2-aminopropanoic acid 
Valine,(2S)-2-Amino-3-methylbutanoic acid 
Vitamin A,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraen-1-ol "
Vitamin E,(+)-α-tocopherol 
Pyridoxine,"2-methyl-3-hydroxy-4,5-dihydroxymethylpyridine "
Lipoic acid,(+)-alpha-Lipoic acid 
Isoleucine,"(2S,3S)-2-Amino-3-methylpentanoic acid "
Aspartame,1-Methyl N-L-alpha-aspartyl-L-phenylalanate 
Cholecalciferol,(+)-vitamin D3 
Menadione,"2-Methyl-1,4-Naphthalenedione "
ATP,Adenosine 5'-triphosphate 
Proline,(-)-2-Pyrrolidinecarboxylic acid 
Adenine,6-Aminopurine 
Asparagine,(2S)-2-amino-3-carbamoylpropanoic acid 
Pravastatin,"(+)-(3R,5R)-3,5-dihydroxy-7-[(1S,2S,6S,8S,8aR)-6-hydroxy-2-methyl-8-{[(S)-2-methylbutyryl]oxy}-1,2,6,7,8,8a-hexahydro-1-naphthyl]heptanoic acid "
Fluvoxamine,Fluvoxamina 
Valsartan,(S)-N-Valeryl-N-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]-methyl}-valine 
Ramipril,"(2S-(1(R*(R*)),2alpha,3abeta,6abeta))-1-(2-((1-(Ethoxycarbonyl)-3-phenylpropyl)amino)-1-oxopropyl)octahydrocyclopenta(b)pyrrole-2-carboxylic acid "
Masoprocol,erythro-nordihydroguaiaretic acid 
Flunisolide,Flunisolida 
Baclofen,(+-)-Baclofen 
Amphetamine,(+-)-alpha-Methylphenylethylamine 
Pentagastrin,Pentagastrin
Nicotine,(−)-nicotine 
Cevimeline,"2-Methyspiro(1,3-oxathiolane-5,3)quinuclidine "
Lorazepam,Loracepam 
Esmolol,(±)-esmolol 
Bortezomib,[(1R)-3-methyl-1-({(2S)-3-phenyl-2-[(pyrazin-2-ylcarbonyl)amino]propanoyl}amino)butyl]boronic acid 
Ethchlorvynol,1-chloro-3-ethyl-1-penten-4-yn-3-ol 
Carbidopa,"(-)-L-alpha-Hydrazino-3,4-dihydroxy-alpha-methylhydrocinnamic acid monohydrate "
Phentermine,"alpha,alpha-Dimethylphenethylamine "
Indecainide,Indecainida 
Tramadol,Tramadol 
Vidarabine,9-beta-D-arabinofuranosyl-9H-purin-6-amine 
Betaxolol,1-(4-(2-(cyclopropylmethoxy)ethyl)phenoxy)-3-((1-methylethyl)amino)-2-propanol 
Fluconazole,Diflucan 
Troglitazone,Troglitazona 
Oseltamivir,(−)-oseltamivir 
Erythromycin,3''-O-demethylerythromycin 
Hydroxocobalamin,Hydroxocobalamin 
Caffeine,1-methyltheobromine 
Succinylcholine,"2,2'-[(1,4-dioxobutane-1,4-diyl)bis(oxy)]bis(N,N,N-trimethylethanaminium) "
Sildenafil,"1-((3-(4,7-Dihydro-1-methyl-7-oxo-3-propyl-1H-pyrazolo(4,3-d)pyrimidin-5-yl)-4-ethoxyphenyl)sulfonyl)-4-methylpiperazine "
Dofetilide,beta-((p-Methanesulfonamidophenethyl)methylamino)methanesulfono-p-phenetidide 
Pyrimethamine,"2,4-Diamino-5-(4-chlorophenyl)-6-ethylpyrimidine "
Reserpine,(−)-reserpine 
Azithromycin,Azithromycin 
Ticlopidine,Ticlopidina 
Trospium,0
Adapalene,6-(3-(1-Adamantyl)-4-methoxyphenyl)-2-naphthoic acid 
Midodrine,"(±)-2-amino-N-(β-hydroxy-2,5-dimethoxyphenethyl)acetamide "
Remikiren,Remikiren
Pantoprazole,Pantoprazol 
Torasemide,1-Isopropyl-3-((4-m-toluidino-3-pyridyl)sulfonyl)urea 
Citalopram,Citalopram 
Eletriptan,Eletriptan 
Bethanidine,Betanidina 
Moxifloxacin,"1-Cyclopropyl-6-fluoro-1,4-dihydro-8-methoxy-7-((4as,7as)-octahydro-6H-pyrrolo(3,4-b)pyridin-6-yl)-4-oxo-3-quinolinecarboxylic acid "
Oxyphenonium,Oxyphenonium cation 
Nelfinavir,Nelfinavir
Isoetharine,Isoetarina 
Glimepiride,Glimepirida 
Diflorasone,"(6α,11β,16β)-6,9-difluoro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione "
Indinavir,"(1(1S,2R),5(S))-2,3,5-Trideoxy-N-(2,3-dihydro-2-hydroxy-1H-inden-1-yl)-5-(2-(((1,1-dimethylethyl)amino)carbonyl)-4-(3-pyridinylmethyl)-1-piperazinyl)-2-(phenylmethyl)-D-erythro-pentonamide "
Gadodiamide,Gadodiamida 
Guanadrel,Guanadrel 
Lovastatin,"(1S,3R,7S,8S,8aR)-1,2,3,7,8,8a-hexahydro-3,7-dimethyl-8-(2-(2R,4R)-(tetrahydro-4-hydroxy-6-oxo-2H-pyran-2-yl)ethyl)-1-naphthalenyl (S)-2-methyl-butyrate "
Enflurane,"2-chloro-1,1,2-trifluoroethyl difluoromethyl ether "
Cefotiam,"(6R,7R)-7-[2-(2-Amino-thiazol-4-yl)-acetylamino]-3-[1-(2-dimethylamino-ethyl)-1H-tetrazol-5-ylsulfanylmethyl]-8-oxo-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid "
Pregabalin,(S)-3-Isobutyl GABA 
Temazepam,Temazepam
Methyclothiazide,Methyclothiazide
Aminosalicylic acid,4-amino-2-hydroxybenzoic acid 
Reboxetine,Reboxetina 
Milrinone,"1,6-Dihydro-2-methyl-6-oxo(3,4'-bipyridine)-5-carbonitrile "
Pipobroman,"1,4-bis(3-bromopropionyl)piperazine "
Butabarbital,"5-ethyl-5-(1-methylpropyl)-2,4,6(1H,3H,5H)-pyrimidinetrione "
Nevirapine,"11-cyclopropyl-5,11-dihydro-4-methyl-6H-dipyrido(3,2-b:2',3'-e)(1,4)diazepin-6-one "
Oxiconazole,"2',4'-Dichloro-2-imidazol-1-ylacetophenone (Z)-[O-(2,4-dichlorobenzyl)oxime] "
Alclometasone,"(7alpha,11beta,16alpha)-7-chloro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione "
Butalbital,"5-(2-methylpropyl)-5-prop-2-enyl-1,3-diazinane-2,4,6-trione "
Cladribine,"(2R,3S,5R)-5-(6-amino-2-chloropurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol "
Ranolazine,Ranolazina 
Mesalazine,3-carboxy-4-hydroxyaniline 
Benzatropine,3-alpha-(diphenylmethoxy)tropane 
Ziprasidone,Ziprasidona 
Methysergide,"(+)-9,10-Didehydro-N-(1-(hydroxymethyl)propyl)-1,6-dimethylergoline-8β-carboxamide "
Cabergoline,(8R)-6-allyl-N-[3-(dimethylamino)propyl]-N-(ethylcarbamoyl)ergoline-8-carboxamide 
Idoxuridine,(+)-5-Iodo-2'-deoxyuridine 
Dapsone,"1,1'-sulfonylbis(4-aminobenzene) "
Terconazole,Terconazole
Phenytoin,"5,5-Diphenyl-imidazolidine-2,4-dione "
Medrysone,"11beta-Hydroxy-6alpha-methylpregn-4-ene-3,20-dione "
Doxycycline,5-hydroxy-α-6-deoxytetracycline 
Diethylstilbestrol,"(E)-3,4-bis(4-hydroxyphenyl)-3-hexene "
Lymecycline,"(+)-N-(5-Amino-5-carboxypentylaminomethyl)-4-dimethylamino-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxonaphthacene-2-carboxamide "
Clotrimazole,1-((2-Chlorophenyl)diphenylmethyl)-1H-imidazole 
Calcium acetate,Acetate of lime 
Sulfanilamide,4-aminobenzene sulfonic acid amide 
Cycloserine,(+)-4-amino-3-isoxazolidinone 
Anagrelide,Anagrelida 
Carmustine,BCNU 
Sulfisoxazole,"3,4-Dimethyl-5-sulfanilamidoisoxazole "
Metoprolol,(RS)-Metoprolol 
Crotamiton,Crotamiton
Dicoumarol,"3,3'-methylen-bis(4-hydroxy-cumarin) "
Cefmenoxime,"(6R,7R)-7-((Z)-2-(2-Amino-4-thiazolyl)-2-methoxyiminoacetamido)-3-((1-methyl-1H-5-tetraazolylthio)methyl)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-en-2-carbonsaeure "
Ropinirole,Ropinirol 
Chlorotrianisene,Chloortrianisestrol 
Isradipine,Isradipine 
Diatrizoate,"2,4,6-Triiodo-3,5-diacetamidobenzoic acid "
Betazole,1H-pyrazole-3-ethanamine 
Topiramate,"2,3:4,5-bis-O-(1-methylethylidene)-β-D-fructopyranose sulfamate "
Cefmetazole,"(6R,7S)-7-({[(cyanomethyl)sulfanyl]acetyl}amino)-7-methoxy-3-{[(1-methyl-1H-tetrazol-5-yl)sulfanyl]methyl}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid "
Olmesartan,4-(1-hydroxy-1-methylethyl)-2-propyl-1-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]methyl}-1H-imidazole-5-carboxylic acid 
Amsacrine,4'-(9-Acridinylamino)-3'-methoxymethanesulfonanilide 
Theophylline,"1,3-dimethyl-7H-purine-2,6-dione "
Argatroban,Argatroban 
Liothyronine,"3,3',5-triiodo-L-thyronine "
Disopyramide,Disopiramida 
Lidocaine,"2-(Diethylamino)-2',6'-acetoxylidide "
Pamidronic acid,Acide pamidronique 
Clemastine,(+)-(2R)-2-(2-(((R)-p-chloro-α-methyl-α-phenylbenzyl)oxy)ethyl)-1-methylpyrrolidine 
Acarbose,Acarbosa 
Venlafaxine,Venlafaxina 
Conjugated estrogens,Conjugated equine estrogens 
Travoprost,"(1R-(1.ALPHA.(Z),2.BETA.(1E,3R*),3.ALPHA.,5.ALPHA.))-7-(3,5-DIHYDROXY-2-(3-HYDROXY-4-(3-(TRIFLUOROMETHYL)PHENOXY)-1-BUTENYL)CYCLOPENTYL)-5-HEPTENOIC ACID, 1-METHYLETHYL ESTER "
Amcinonide,Amcinónida 
Atomoxetine,(-)-Tomoxetine 
Bleomycin,Bleocin 
Chlorambucil,4-(p-bis(beta-chloroethyl)aminophenyl)butyric acid 
Etomidate,(+)-ethyl 1-(α-methylbenzyl)imidazole-5-carboxylate 
Raltitrexed,Raltitrexed
Etonogestrel,3-Ketodesogestrel 
Morphine,(−)-morphine 
Ropivacaine,"(S)-(−)-1-propyl-2',6'-pipecoloxylidide "
Bupivacaine,(±)-bupivacaine 
Dapiprazole,"5,6,7,8-Tetrahydro-3-(2-(4-(o-tolyl)-1-piperazinyl)ethyl)-s-triazolo(4,3-a)pyridine "
Penciclovir,9-(4-hydroxy-3-(hydroxymethyl)butyl)guanine 
Tenofovir disoproxil,Bis(POC)PMPA 
Flucloxacillin,"(2S,5R,6R)-6-({[3-(2-chloro-6-fluorophenyl)-5-methyl-1,2-oxazol-4-yl]carbonyl}amino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid "
Tranexamic acid,Acide tranéxamique 
Ertapenem,"(1R,5S,6S,8R,2'S,4'S)-2-(2-(3-carboxyphenylcarbamoyl)pyrrolidin-4-ylthio)-6-(1-hydroxyethyl)-1-methylcarbapenem-3-carboxylic acid "
Desogestrel,"13-Ethyl-11-methylene-18,19-dinor-17α-pregn-4-en-20-yn-17-ol "
Mitomycin,7-Amino-9alpha-methoxymitosane 
Talbutal,"(RS)-5-allyl-5-sec-butylpyrimidine-2,4,6(1H,3H,5H)-trione "
Bexarotene,"4-[1-(3,5,5,8,8-pentamethyltetralin-2-yl)ethenyl]benzoic acid "
Ibutilide,Ibutilid 
Vindesine,3-(aminocarbonyl)-O4-deacetyl-3-de(methoxycarbonyl)vincaleukoblastine 
Chlorthalidone,1-keto-3-(3'-sulfamyl-4'-chlorophenyl)-3-hydroxyisoindoline 
Ethoxzolamide,"6-Ethoxy-1,3-benzothiazole-2-sulfonamide "
Pentobarbital,"5-Ethyl-5-(1-methyl-butyl)-pyrimidine-2,4,6-trione "
Valproic acid,2-n-propyl-n-valeric acid 
Capreomycin,Capreomicina 
Zolmitriptan,"(S)-4-({3-[2-(dimethylamino)ethyl]-1H-indol-5-yl}methyl)-1,3-oxazolidin-2-one "
Acetaminophen,4-(Acetylamino)phenol 
Gefitinib,4-(3'-chloro-4'-fluoroanilino)-7-methoxy-6-(3-morpholinopropoxy)quinazoline 
Codeine,(−)-Codeine 
Piperacillin,"(2S,5R,6R)-6-{[(2R)-2-{[(4-ethyl-2,3-dioxopiperazin-1-yl)carbonyl]amino}-2-phenylacetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid "
Dihydroergotamine,"(2R,4R,7R)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-6-methyl-6,11-diazatetracyclo[7.6.1.02,7.012,16]hexadeca-1(16),9,12,14-tetraene-4-carboxamide "
Amitriptyline,"10,11-dihydro-5-(γ-dimethylaminopropylidene)-5H-dibenzo(a,d)cycloheptene "
Floxuridine,1-(2-Deoxy-beta-D-ribofuranosyl)-5-fluorouracil 
Tolcapone,"(3,4-dihydroxy-5-nitrophenyl)(4-methylphenyl)methanone "
Fluorometholone,"(1R,2S,8S,10S,11S,14R,15S,17S)-14-acetyl-1-fluoro-14,17-dihydroxy-2,8,15-trimethyltetracyclo[8.7.0.02,7.011,15]heptadeca-3,6-dien-5-one "
Nitroprusside,Nitroferricyanide
Calcium glucoheptonate,Calcii glucoheptonas 
Hydromorphone,"(-)-(5R)-4,5-Epoxy-3-hydroxy-9α-methylmorphinan-6-one "
Indomethacin,{1-[(4-chlorophenyl)carbonyl]-5-methoxy-2-methyl-1H-indol-3-yl}acetic acid 
Ethambutol,"(+)-2,2'-(ethylenediimino)di-1-butanol "
Metformin,"1,1-Dimethylbiguanide "
Ipratropium,bromuro de ipratropio 
Methadone,(+-)-Methadone 
